REGION,DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
LOUGA,KEBEMER,DIOKOUL NDIAWRIGNE,KANENE KANE,1,410,ECOLE KANENE KANE CLASSE CI
LOUGA,KEBEMER,DIOKOUL NDIAWRIGNE,LOMPOUL,1,512,ECOLE CLASSE CE 1
LOUGA,KEBEMER,DIOKOUL NDIAWRIGNE,LOMPOUL,2,191,ECOLE CLASSE CI
LOUGA,KEBEMER,DIOKOUL NDIAWRIGNE,MAKA LY,1,270,ECOLE ARABE SALLE 01
LOUGA,KEBEMER,DIOKOUL NDIAWRIGNE,NDIAVAGNE FALL,1,229,ECOLE CLASSE CP
LOUGA,KEBEMER,DIOKOUL NDIAWRIGNE,NGUER NGUER,1,386,ABRI PROVISOIRE
LOUGA,KEBEMER,DIOKOUL NDIAWRIGNE,TAYBA AMARI MBERI,1,489,ABRI PROVISOIRE
LOUGA,KEBEMER,DIOKOUL NDIAWRIGNE,THIENABA,1,470,ECOLE CLASSE CE 1
LOUGA,KEBEMER,DIOKOUL NDIAWRIGNE,TOUNDOU MALEYE,1,164,ABRI PROVISOIRE
LOUGA,KEBEMER,GUEOUL,ECOLE GUEOUL 1,1,588,CLASSE CE1A
LOUGA,KEBEMER,GUEOUL,ECOLE GUEOUL 1,2,586,CLASSE CM2A
LOUGA,KEBEMER,GUEOUL,ECOLE GUEOUL 2,1,558,CLASSE CM1
LOUGA,KEBEMER,GUEOUL,ECOLE GUEOUL 2,2,558,CLASSE CM2
LOUGA,KEBEMER,GUEOUL,ECOLE GUEOUL 2,3,114,CLASSE CI
LOUGA,KEBEMER,GUEOUL,ECOLE GUEOUL 3,1,567,CLASSE CM2A
LOUGA,KEBEMER,GUEOUL,ECOLE GUEOUL 3,2,181,CLASSE CI
LOUGA,KEBEMER,GUEOUL,ECOLE GUEOUL 4,1,503,CLASSE C M 2 A
LOUGA,KEBEMER,GUEOUL,ECOLE GUEOUL 4,2,508,CLASSE CM1
LOUGA,KEBEMER,GUEOUL,FOYER DES JEUNES,1,508,SALLE 1 FOYER DES JEUNES
LOUGA,KEBEMER,GUEOUL,FOYER DES JEUNES,2,509,SALLE 2 FOYER DES JEUNES
LOUGA,KEBEMER,KAB GAYE,DAROU DIA,1,254,ECOLE ARABE DAROU DIA
LOUGA,KEBEMER,KAB GAYE,KAB GAYE,1,545,ECOLE CLASSE CE 2
LOUGA,KEBEMER,KAB GAYE,KEUR MBAYE NDAO,1,128,KEUR MBAYE NDAO CLASSE CI
LOUGA,KEBEMER,KAB GAYE,LAMBANE VILANE,1,494,ECOLE CLASSE CI
LOUGA,KEBEMER,KAB GAYE,LOMPOUL,1,563,ECOLE CLASSE CE 1
LOUGA,KEBEMER,KAB GAYE,LOMPOUL,2,563,ECOLE CLASSE CE 2
LOUGA,KEBEMER,KAB GAYE,MERINA NDIAYE,1,206,ECOLE CLASSE CM 1
LOUGA,KEBEMER,KAB GAYE,NGATT OUOLOF,1,302,ABRI PROVISOIRE
LOUGA,KEBEMER,KAB GAYE,NGUEBAL,1,330,ECOLE CLASSE CI
LOUGA,KEBEMER,KAB GAYE,TALENE GAYE,1,512,ECOLE CLASSE CP
LOUGA,KEBEMER,KAB GAYE,TAVA FALL,1,313,ECOLE TAVA BA CLASSE CI
LOUGA,KEBEMER,KAB GAYE,TEUMB MBAYE,1,292,ECOLE CLASSE CI
LOUGA,KEBEMER,KAB GAYE,THIAKHAO GAYE,1,267,ECOLE CLASSE CE 2
LOUGA,KEBEMER,KAB GAYE,TOURE NGUEUNE,1,110,ECOLE CLASSE CE 1
LOUGA,KEBEMER,KANENE NDIOB,AFE 2,1,328,ECOLE CLASSE CM1 A
LOUGA,KEBEMER,KANENE NDIOB,AFE 2,2,217,ECOLE CLASSE CM2 A
LOUGA,KEBEMER,KANENE NDIOB,DEKHOLE SOW,1,186,ECOLE CLASSE CI
LOUGA,KEBEMER,KANENE NDIOB,ECOLE KANENE NDIOB,1,458,CLASSE CE1A
LOUGA,KEBEMER,KANENE NDIOB,ECOLE KANENE NDIOB,2,457,CLASSE CM1A
LOUGA,KEBEMER,KANENE NDIOB,ECOLE KANENE NDIOB,3,455,CLASSE CM2A
LOUGA,KEBEMER,KANENE NDIOB,KANENE NIER,1,458,ECOLE CLASSE CE1 A
LOUGA,KEBEMER,KANENE NDIOB,KHELI THIOUB,1,461,ECOLE CLASSE CP1
LOUGA,KEBEMER,KANENE NDIOB,KHOUROUF SOW,1,196,ECOLE CLASSE CM1 A
LOUGA,KEBEMER,KANENE NDIOB,MBOREFOU LO,1,166,ABRI PROVISOIRE
LOUGA,KEBEMER,KANENE NDIOB,NDIOB SAMB,1,182,ECOLE CLASSE CI
LOUGA,KEBEMER,KANENE NDIOB,NGUENE SEYE,1,229,CASE DE SANTE
LOUGA,KEBEMER,KANENE NDIOB,NGUIMBE PEULH,1,347,ECOLE CLASSE CI
LOUGA,KEBEMER,KANENE NDIOB,NIER CISSE OUOLOF,1,340,ABRI PROVISOIRE
LOUGA,KEBEMER,KANENE NDIOB,SANTHIOU NDIOB,1,345,ECOLE CLASSE CI
LOUGA,KEBEMER,KANENE NDIOB,THISS SALL,1,156,ABRI PROVISOIRE
LOUGA,KEBEMER,KEBEMER,C E M MACODOU KANGHE SALL,1,543,CLASSE 16
LOUGA,KEBEMER,KEBEMER,C E M MACODOU KANGHE SALL,2,540,CLASSE 08
LOUGA,KEBEMER,KEBEMER,C E M MACODOU KANGHE SALL,3,542,CLASSE 11
LOUGA,KEBEMER,KEBEMER,C E M MACODOU KANGHE SALL,4,550,CLASSE 04
LOUGA,KEBEMER,KEBEMER,C E M MACODOU KANGHE SALL,5,538,CLASSE 06
LOUGA,KEBEMER,KEBEMER,C E M MACODOU KANGHE SALL,6,539,CLASSE 09
LOUGA,KEBEMER,KEBEMER,ECOLE CHEIKH IBRA FAYE,1,563,CLASSE CE1 B
LOUGA,KEBEMER,KEBEMER,ECOLE CHEIKH IBRA FAYE,2,563,CLASSE CM 2 A
LOUGA,KEBEMER,KEBEMER,ECOLE CHEIKH IBRA FAYE,3,564,CLASSE CM1 B
LOUGA,KEBEMER,KEBEMER,ECOLE CHEIKH IBRA FAYE,4,562,CLASSE CE2 A
LOUGA,KEBEMER,KEBEMER,ECOLE KEBEMER 5,1,546,CLASSE CM2 A
LOUGA,KEBEMER,KEBEMER,ECOLE KEBEMER 5,2,548,CLASSE CI
LOUGA,KEBEMER,KEBEMER,ECOLE KEBEMER 5,3,513,CLASSE CE2
LOUGA,KEBEMER,KEBEMER,ECOLE KEBEMER 5,4,436,CLASSE CM1 B
LOUGA,KEBEMER,KEBEMER,ECOLE KEBEMER 6,1,577,SALLE DE CLASSE CE1 B
LOUGA,KEBEMER,KEBEMER,ECOLE KEBEMER 6,2,573,SALLE DE CLASSE CM2 A
LOUGA,KEBEMER,KEBEMER,ECOLE KEBEMER 6,3,577,SALLE DE CLASSE CI B
LOUGA,KEBEMER,KEBEMER,ECOLE KEBEMER 6,4,575,SALLE DE CLASSE CP B
LOUGA,KEBEMER,KEBEMER,ECOLE KEBEMER 6,5,577,SALLE DE CLASSE CE2 A
LOUGA,KEBEMER,KEBEMER,ECOLE KEBEMER 7,1,480,ECOLE KEBEMER 7 CLASSE CM2
LOUGA,KEBEMER,KEBEMER,ECOLE KEBEMER 7,2,481,ECOLE KEBEMER 7 CLASSE CM1
LOUGA,KEBEMER,KEBEMER,ECOLE KEBEMER 7,3,482,ECOLE KEBEMER 7 CLASSE CE1 A
LOUGA,KEBEMER,KEBEMER,ECOLE KEBEMER 7,4,481,ECOLE KEBEMER 7 CLASSE CP A
LOUGA,KEBEMER,KEBEMER,ECOLE KEBEMER 7,5,476,CP B
LOUGA,KEBEMER,KEBEMER,ECOLE PAPA AMADOU DIAO,1,555,CLASSE CM2 B
LOUGA,KEBEMER,KEBEMER,ECOLE PAPA AMADOU DIAO,2,554,CLASSE CE1 A
LOUGA,KEBEMER,KEBEMER,ECOLE PAPA AMADOU DIAO,3,556,CLASSE CI A
LOUGA,KEBEMER,KEBEMER,ECOLE PAPA AMADOU DIAO,4,553,SALLE DE CLASSE CM2 A
LOUGA,KEBEMER,KEBEMER,ECOLE PAPA AMADOU DIAO,5,555,SALLE DE CLASSE CE2 B
LOUGA,KEBEMER,KEBEMER,NDAKHAR LAMANE,1,395,CLASSE CE 2
LOUGA,KEBEMER,KEBEMER,TOBBI DIOP,1,402,CLASSE CM 2
LOUGA,KEBEMER,LORO,BAYTI MBEUSSINE,1,236,ABRI PROVISOIRE
LOUGA,KEBEMER,LORO,DIORO MAMA NDIAYE,1,268,ECOLE CLASSE CM1 A
LOUGA,KEBEMER,LORO,ECOLE LORO THIECKENE,1,351,CLASSE CE1A
LOUGA,KEBEMER,LORO,ECOLE LORO THIECKENE,2,352,CLASSE CM1A
LOUGA,KEBEMER,LORO,KABDOU,1,322,ECOLE CLASSE CM2 A
LOUGA,KEBEMER,LORO,KEUR AMADOU YALA,1,377,ECOLE CLASSE CE1 A
LOUGA,KEBEMER,LORO,KEUR AMADOU YALA,2,375,ECOLE CLASSE CM2 A
LOUGA,KEBEMER,LORO,KEUR SANOU DIENG,1,256,ECOLE CLASSE CI
LOUGA,KEBEMER,LORO,LORO NGUEYENE,1,348,ECOLE CLASSE CI
LOUGA,KEBEMER,LORO,LORO NGUEYENE,2,349,ECOLE CLASSE CP
LOUGA,KEBEMER,LORO,MBAR SECK,1,235,CASE DE SANTE
LOUGA,KEBEMER,LORO,MERINA KA TIDIANE,1,559,CASE DE SANTE
LOUGA,KEBEMER,LORO,MERINA KA TIDIANE,2,82,ABRI PROVISOIRE
LOUGA,KEBEMER,LORO,NDAM THILLA,1,134,CASE DE SANTE
