REGION,DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
SAINT LOUIS,DAGANA,GAE,GAE,01,571,CLASSE CI A
SAINT LOUIS,DAGANA,GAE,GAE,02,570,CLASSE CE1 B
SAINT LOUIS,DAGANA,GAE,GAE,03,570,CLASSE CE2 B
SAINT LOUIS,DAGANA,GAE,GAE,04,572,CLASSE CM1 A
SAINT LOUIS,DAGANA,GAE,GAE,05,567,CLASSE CM1 B
SAINT LOUIS,DAGANA,GAE,GAE,06,571,CLASSE CM2 A
SAINT LOUIS,DAGANA,GAE,GAE,07,569,CLASSE CM2 B
SAINT LOUIS,DAGANA,GAE,GAE,08,572,CLASSE CE 2 A
SAINT LOUIS,DAGANA,GAE,GAE,09,571,CLASSE CE1 A
SAINT LOUIS,DAGANA,GAE,GAE,10,572,CLASSE CP
SAINT LOUIS,DAGANA,GAE,GOUMEL,01,209,CLASSE CE 1
SAINT LOUIS,DAGANA,GAE,NDIAREME,01,566,CLASSE CI
SAINT LOUIS,DAGANA,GAE,NDIAREME,02,568,CLASSE CP
SAINT LOUIS,DAGANA,GAE,NDIAREME,03,259,CLASSE CM1
SAINT LOUIS,DAGANA,GNITH,DIALBANABE,01,521,ABRI PROVISOIRE
SAINT LOUIS,DAGANA,GNITH,DIALBANABE,02,520,ABRI PROVISOIRE
SAINT LOUIS,DAGANA,GNITH,DIOKHOR 1,01,415,CLASSE CE 2
SAINT LOUIS,DAGANA,GNITH,DIOKHOR 1,02,414,CLASSE CI
SAINT LOUIS,DAGANA,GNITH,DIOKHOR 2,01,528,CLASSE CP 2
SAINT LOUIS,DAGANA,GNITH,DIOKHOR 2,02,519,SALLE DE CLASSE
SAINT LOUIS,DAGANA,GNITH,ECOLE TEIDIEL TOUCOULEUR,01,313,SALLE DE CLASSE
SAINT LOUIS,DAGANA,GNITH,ECOLE THIEDEME PEULH,01,191,ABRI PROVISOIRE
SAINT LOUIS,DAGANA,GNITH,GADE NDIEYENE,01,534,ABRI PROVISOIRE
SAINT LOUIS,DAGANA,GNITH,GNITH,01,555,CLASSE CP 2
SAINT LOUIS,DAGANA,GNITH,GNITH,02,563,CLASSE CM 1
SAINT LOUIS,DAGANA,GNITH,GNITH,03,560,CLASSE CI
SAINT LOUIS,DAGANA,GNITH,GNITH,04,559,SALLE DE CLASSE BV 4
SAINT LOUIS,DAGANA,GNITH,GNITH,05,369,SALLE DE CLASSE
SAINT LOUIS,DAGANA,GNITH,GOGNO FALL,01,192,ABRI PROVISOIRE
SAINT LOUIS,DAGANA,GNITH,MALLA,01,314,CLASSE CP 2
SAINT LOUIS,DAGANA,GNITH,MBAYENE,01,522,CLASSE CI
SAINT LOUIS,DAGANA,GNITH,MBAYENE,02,523,SALLE DE CLASSE
SAINT LOUIS,DAGANA,GNITH,NDER,01,536,CP
SAINT LOUIS,DAGANA,GNITH,NDER,02,172,CI
SAINT LOUIS,DAGANA,GNITH,NDOGAL TEIDIEL,01,565,CLASSE CE1
SAINT LOUIS,DAGANA,GNITH,NDOUROUNABE DIAGANE 1,01,338,ABRI PROVISOIRE
SAINT LOUIS,DAGANA,GNITH,ODABE POUROGNE,01,513,SALLE DE CLASSE
SAINT LOUIS,DAGANA,GNITH,ODABE POUROGNE,02,262,ABRI PROVISOIRE
SAINT LOUIS,DAGANA,GNITH,PEULH SINE,01,88,ABRI PROVISOIRE
SAINT LOUIS,DAGANA,GNITH,YAMANE,01,554,CLASSE CI
SAINT LOUIS,DAGANA,MBANE,BADJINCOBE VIDODJI,01,541,CLASSE CP
SAINT LOUIS,DAGANA,MBANE,BISNABE BOUTEYNI,01,397,CLASSE CI
SAINT LOUIS,DAGANA,MBANE,BISNABE BOUTEYNI,02,397,CLASSE CP
SAINT LOUIS,DAGANA,MBANE,BISNABE DIAPOBE,01,263,ABRI PROVISOIRE
SAINT LOUIS,DAGANA,MBANE,BISNABE PENDA YAYAKE,01,278,CLASSE CP
SAINT LOUIS,DAGANA,MBANE,DIAGLE,01,464,CLASSE CI
SAINT LOUIS,DAGANA,MBANE,DIAGLE,02,466,CLASSE CP
SAINT LOUIS,DAGANA,MBANE,DIALBANABE BELI NAMARI,01,496,CLASSE CI
SAINT LOUIS,DAGANA,MBANE,DIAM DIAYRE,01,157,CLASSE CP
SAINT LOUIS,DAGANA,MBANE,DIASSARNABE NDIACK FALL,01,294,CLASSE CP
SAINT LOUIS,DAGANA,MBANE,FOSS NDIAKHAYE 1,01,292,CLASSE CE1
SAINT LOUIS,DAGANA,MBANE,GANKETTE PENDA YAYAKE,01,94,CLASSE CE1
SAINT LOUIS,DAGANA,MBANE,MAPOUDJI,01,282,CLASSE CE 1
SAINT LOUIS,DAGANA,MBANE,MBANE,01,566,CLASSE CI
SAINT LOUIS,DAGANA,MBANE,MBANE,02,563,CLASSE CP
SAINT LOUIS,DAGANA,MBANE,MBANE,03,566,CLASSE CM 1
SAINT LOUIS,DAGANA,MBANE,MBELOGNE VIDODJI,01,265,ABRI PROVISOIRE
SAINT LOUIS,DAGANA,MBANE,MEDINA BAIDY,01,419,CLASSE CP
SAINT LOUIS,DAGANA,MBANE,NDIAKHAYE,01,598,CLASSE CE 1
SAINT LOUIS,DAGANA,MBANE,NIASSANTE,01,428,CLASSE CI
SAINT LOUIS,DAGANA,MBANE,NIASSANTE,02,428,CLASSE CP
SAINT LOUIS,DAGANA,MBANE,NIASSANTE,03,427,CLASSE CM1
SAINT LOUIS,DAGANA,MBANE,OULAD BERI,01,165,ABRI PROVISOIRE
SAINT LOUIS,DAGANA,MBANE,PAMPINABE 1,01,353,ABRI PROVISOIRE
SAINT LOUIS,DAGANA,MBANE,SAGOBE,01,145,CLASSE CP
SAINT LOUIS,DAGANA,MBANE,SANINTE TACK,01,348,CLASSE CE2
SAINT LOUIS,DAGANA,MBANE,SARE LAMOU,01,511,CLASSE CP
SAINT LOUIS,DAGANA,MBANE,SINGOU DIERI,01,408,CLASSE CP
SAINT LOUIS,DAGANA,MBANE,SOVONABE NIARY,01,450,CLASSE CE 1
SAINT LOUIS,DAGANA,MBANE,SOVONABE PATHE BADIO,01,532,CLASSE CP
SAINT LOUIS,DAGANA,MBANE,SOVONABE PATHE BADIO,02,532,CLASSE CE 1
SAINT LOUIS,DAGANA,MBANE,TEMEYE,01,384,CLASSE CE2
SAINT LOUIS,DAGANA,MBANE,TEMEYE LEWA,01,581,CLASSE CI
SAINT LOUIS,DAGANA,MBANE,TEMEYE LEWA,02,28,CLASSE CP
SAINT LOUIS,DAGANA,MBANE,TETHIANE MALAL,01,520,ABRI PROVISOIRE
SAINT LOUIS,DAGANA,MBANE,TETHIANE MALAL,02,116,ABRI PROVISOIRE
SAINT LOUIS,DAGANA,MBANE,THIAGO,01,544,CLASSE CP
SAINT LOUIS,DAGANA,MBANE,THIAGO,02,544,CLASSE CE 1
SAINT LOUIS,DAGANA,MBANE,WEYNDOU SAMBA,01,467,CLASSE CE 1
SAINT LOUIS,DAGANA,MBANE,YELOUR,01,296,CLASSE CI
SAINT LOUIS,DAGANA,NDOMBO SANDJIRY,DIAMEGUEUNE,01,566,SALLE DE CLASSE
SAINT LOUIS,DAGANA,NDOMBO SANDJIRY,NDOMBO,01,577,CLASSE CP
SAINT LOUIS,DAGANA,NDOMBO SANDJIRY,NDOMBO,02,577,CLASSE CE 1
SAINT LOUIS,DAGANA,NDOMBO SANDJIRY,NDOMBO,03,577,CLASSE CM 1
SAINT LOUIS,DAGANA,NDOMBO SANDJIRY,NDOMBO,04,578,CLASSE CM 2
SAINT LOUIS,DAGANA,NDOMBO SANDJIRY,NDOMBO,05,579,SALLE DE CLASSE
SAINT LOUIS,DAGANA,RICHARD TOLL,ECOLE CAMPEMENT 1,01,578,CLASSE CM2
SAINT LOUIS,DAGANA,RICHARD TOLL,ECOLE CAMPEMENT 1,02,577,CLASSECM1
SAINT LOUIS,DAGANA,RICHARD TOLL,ECOLE CAMPEMENT 1,03,577,SALLE DE CLASSE
SAINT LOUIS,DAGANA,RICHARD TOLL,ECOLE CAMPEMENT 1,04,578,SALLE DE CLASSE
SAINT LOUIS,DAGANA,RICHARD TOLL,ECOLE DIACKSAO,01,454,CLASSE CM2
SAINT LOUIS,DAGANA,RICHARD TOLL,ECOLE DIACKSAO,02,404,SALLE DE CLASSE
SAINT LOUIS,DAGANA,RICHARD TOLL,ECOLE GALLO MALICK,01,575,CLASSE CM2A
SAINT LOUIS,DAGANA,RICHARD TOLL,ECOLE GALLO MALICK,02,578,CLASSE CM1A
SAINT LOUIS,DAGANA,RICHARD TOLL,ECOLE GALLO MALICK,03,577,CLASSE CM1B
SAINT LOUIS,DAGANA,RICHARD TOLL,ECOLE GALLO MALICK,04,578,CLASSE CM2B
SAINT LOUIS,DAGANA,RICHARD TOLL,ECOLE GALLO MALICK,05,571,CLASSE CE3A
SAINT LOUIS,DAGANA,RICHARD TOLL,ECOLE GALLO MALICK,06,242,SALLE DE CLASSE
SAINT LOUIS,DAGANA,RICHARD TOLL,ECOLE GAYA 2,01,540,CLASSE CM2
SAINT LOUIS,DAGANA,RICHARD TOLL,ECOLE GAYA 2,02,543,CLASSE CM1
SAINT LOUIS,DAGANA,RICHARD TOLL,ECOLE GAYA 2,03,496,SALLE DE CLASSE
SAINT LOUIS,DAGANA,RICHARD TOLL,ECOLE GAYA 2,04,326,SALLE DE CLASSE
SAINT LOUIS,DAGANA,RICHARD TOLL,ECOLE KHOUMA,01,429,CLASSE CM2A
SAINT LOUIS,DAGANA,RICHARD TOLL,ECOLE KHOUMA,02,429,CLASSE CM1A
SAINT LOUIS,DAGANA,RICHARD TOLL,ECOLE KHOUMA,03,429,CLASSE CM1B
SAINT LOUIS,DAGANA,RICHARD TOLL,ECOLE KHOUMA,04,429,CLASSE CM2B
SAINT LOUIS,DAGANA,RICHARD TOLL,ECOLE KHOUMA,05,427,CLASSE CE3A
SAINT LOUIS,DAGANA,RICHARD TOLL,ECOLE KHOUMA MBODIENE,01,560,CLASSE CM2A
SAINT LOUIS,DAGANA,RICHARD TOLL,ECOLE KHOUMA MBODIENE,02,560,CLASSE CM1A
SAINT LOUIS,DAGANA,RICHARD TOLL,ECOLE KHOUMA MBODIENE,03,561,SALLE DE CLASSE
SAINT LOUIS,DAGANA,RICHARD TOLL,ECOLE KHOUMA THIARENE,01,599,CLASSE CM2A
SAINT LOUIS,DAGANA,RICHARD TOLL,ECOLE KHOUMA THIARENE,02,600,CLASSE CM1A
SAINT LOUIS,DAGANA,RICHARD TOLL,ECOLE KHOUMA THIARENE,03,600,CLASSE CM2B
SAINT LOUIS,DAGANA,RICHARD TOLL,ECOLE KHOUMA THIARENE,04,599,CLASSE CE2
SAINT LOUIS,DAGANA,RICHARD TOLL,ECOLE KHOUMA THIARENE,05,600,CLASSE CM1B
SAINT LOUIS,DAGANA,RICHARD TOLL,ECOLE KHOUMA THIARENE,06,599,FOYER DES JEUNES KHOUMA
SAINT LOUIS,DAGANA,RICHARD TOLL,ECOLE KHOUMA THIARENE,07,600,FOYER DES JEUNES KHOUMA
SAINT LOUIS,DAGANA,RICHARD TOLL,ECOLE NDIANGUE,01,588,CLASSE CM2A
SAINT LOUIS,DAGANA,RICHARD TOLL,ECOLE NDIANGUE,02,582,CLASSE CM1A
SAINT LOUIS,DAGANA,RICHARD TOLL,ECOLE NDIANGUE,03,586,CLASSE CE2B
SAINT LOUIS,DAGANA,RICHARD TOLL,ECOLE NDIANGUE,04,585,CLASSE CE2A
SAINT LOUIS,DAGANA,RICHARD TOLL,ECOLE NDIANGUE,05,570,SALLE DE CLASSE
SAINT LOUIS,DAGANA,RICHARD TOLL,ECOLE NDIANGUE,06,134,SALLE DE CLASSE
SAINT LOUIS,DAGANA,RICHARD TOLL,ECOLE NDIAO,01,552,CLASSE CM2A
SAINT LOUIS,DAGANA,RICHARD TOLL,ECOLE NDIAO,02,552,CLASSE CM1A
SAINT LOUIS,DAGANA,RICHARD TOLL,ECOLE NDIAO,03,563,CLASSE CE2B
SAINT LOUIS,DAGANA,RICHARD TOLL,ECOLE NDIAO,04,543,SALLE DE CLASSE
SAINT LOUIS,DAGANA,RICHARD TOLL,ECOLE NDIAO,05,363,SALLE DE CLASSE
SAINT LOUIS,DAGANA,RICHARD TOLL,ECOLE NDOMBO ALARBA,01,361,CLASSE CM2A
SAINT LOUIS,DAGANA,RICHARD TOLL,ECOLE NDOMBO ALARBA,02,363,CLASSE CM1A
SAINT LOUIS,DAGANA,RICHARD TOLL,ECOLE RICHARD TOLL 1,01,571,CLASSE CM2A
SAINT LOUIS,DAGANA,RICHARD TOLL,ECOLE RICHARD TOLL 1,02,571,CLASSE CM1A
SAINT LOUIS,DAGANA,RICHARD TOLL,ECOLE RICHARD TOLL 1,03,570,CLASSE CM1B
SAINT LOUIS,DAGANA,RICHARD TOLL,ECOLE RICHARD TOLL 1,04,571,CLASSE CM2B
SAINT LOUIS,DAGANA,RICHARD TOLL,ECOLE RICHARD TOLL 1,05,571,CLASSE CE3A
SAINT LOUIS,DAGANA,RICHARD TOLL,ECOLE RICHARD TOLL 1,06,568,CLASSE CE1A
SAINT LOUIS,DAGANA,RICHARD TOLL,ECOLE RICHARD TOLL 1,07,570,CLASSE CE2B
SAINT LOUIS,DAGANA,RICHARD TOLL,ECOLE RICHARD TOLL 1,08,571,CLASSE CP
SAINT LOUIS,DAGANA,RICHARD TOLL,ECOLE RICHARD TOLL 1,09,570,CLASSE CIA
SAINT LOUIS,DAGANA,RICHARD TOLL,ECOLE RICHARD TOLL 3,01,562,CLASSE CE2B
SAINT LOUIS,DAGANA,RICHARD TOLL,ECOLE RICHARD TOLL 3,02,560,CLASSE CM2A
SAINT LOUIS,DAGANA,RICHARD TOLL,ECOLE RICHARD TOLL 3,03,562,CLASSE CM1A
SAINT LOUIS,DAGANA,RICHARD TOLL,ECOLE RICHARD TOLL 3,04,562,CLASSE CE2A
SAINT LOUIS,DAGANA,RICHARD TOLL,ECOLE RICHARD TOLL 3,05,540,SALLE DE CLASSE
SAINT LOUIS,DAGANA,RICHARD TOLL,ECOLE RICHARD TOLL 3,06,542,SALLE DE CLASSE
SAINT LOUIS,DAGANA,RICHARD TOLL,ECOLE RICHARD TOLL 3,07,526,SALLE DE CLASSE
SAINT LOUIS,DAGANA,RICHARD TOLL,ECOLE RICHARD TOLL 3,08,389,SALLE DE CLASSE
SAINT LOUIS,DAGANA,RICHARD TOLL,ECOLE RICHARD TOLL 4,01,526,CLASSE CM2
SAINT LOUIS,DAGANA,RICHARD TOLL,ECOLE RICHARD TOLL 4,02,526,CLASSE CM1
SAINT LOUIS,DAGANA,RONKH,BOUNTOU BACK,01,172,CLASSE CI
SAINT LOUIS,DAGANA,RONKH,COLONNA DIT BALKI,01,265,CLASSE CI
SAINT LOUIS,DAGANA,RONKH,COLONNA DIT BALKI,02,264,CLASSE CP 2
SAINT LOUIS,DAGANA,RONKH,DIAWAR,01,492,CLASSE CE 2
SAINT LOUIS,DAGANA,RONKH,DIAWAR,02,491,CLASSE CM 1
SAINT LOUIS,DAGANA,RONKH,DIAWAR,03,491,CLASSE CM2 A
SAINT LOUIS,DAGANA,RONKH,KASSACK NORD,01,498,CLASSE CI
SAINT LOUIS,DAGANA,RONKH,KASSACK NORD,02,498,SALLE DE CLASSE
SAINT LOUIS,DAGANA,RONKH,KASSACK SUD,01,467,CLASSE CI
SAINT LOUIS,DAGANA,RONKH,KHEUNE,01,578,CLASSE CP 2
